date,AAPL,ADMP,ADMS,ADNT,AFSI,ARRY,BANC,BANF,BDSI,BREW,CAAS,CABO,CACC,CACI,CAKE,CCOI,CRESY,DFIN,DFRG,DGLD,DXB,DWTR,EBAY,EXLS,EPZM,FLOW,FLWS,GTN,GWB,HIBB,HASI,ISTR,IVAC,KRNT,LOCO,NTRI,OEC,PEE,PSCI,QQQ,RE,SAVR,TNC,TNP,VIAV,VTRB,VTEN,ZBIQ,ZFGN,ZUMZ
2017/2/1,128.75,3.049999952,15.93999958,64.13999939,26.63999939,10.69999981,16,46.90000153,1.899999976,14.89999962,4.380000114,635.1500244,195,123.25,58.97999954,41.29999924,17.42000008,24.30999947,17.35000038,55.45999908,24.60000038,24.76000023,32.18000031,45.36999893,10.30000019,35.84999847,9.25,12.19999981,42.74000168,32.54999924,18.20000076,19.60000038,9.449999809,17.04999924,12.05000019,33.54999924,20.95000076,31.67000008,55.34999847,125.4300003,219.5,41.25,69.25,4.739999771,9.289999962,25.5,4,39.40000153,4.170000076,19.54999924
2017/2/2,128.5299988,3.099999905,16.07999992,65.11000061,26.65999985,10.86999989,15.80000019,46.625,1.879999995,15.19999981,4.429999828,638.2999878,198.9900055,131.5500031,59.27999878,41.65000153,17.61000061,24.30999947,16.75,54.56000137,24.48999977,24.59000015,31.96999931,44.63999939,11.25,35.83000183,9.449999809,11.94999981,42.13000107,32.25,18.53000069,19.5,9.199999809,16.70000076,12.05000019,33.09999847,20.75,31.72999954,54.93999863,125.3199997,222.1900024,41.16999817,69.05000305,4.699999809,9.279999733,25.70000076,4,39.65999985,4.099999905,20.5
2017/2/3,129.0800018,3.099999905,16.37000084,63.02000046,27.07999992,10.76000023,16.35000038,47.54999924,1.850000024,15.44999981,4.510000229,645,202.9799957,130.1999969,59.56999969,42.04999924,17.62000084,24.48999977,16.70000076,54.13000107,24.72999954,25.09000015,32.06999969,44.93999863,12.10000038,36.66999817,9.5,12.10000038,43.72999954,32.25,18.35000038,19.72299957,9.449999809,17.20000076,12.19999981,33.84999847,21.20000076,32.09000015,56.15999985,125.6800003,221.6100006,41.88000107,70.94999695,4.690000057,9.229999542,25.12000084,3.799999952,38.36000061,4.230000019,21.14999962
2017/2/6,130.2899933,3.099999905,16.28000069,62.24000168,26.86000061,10.63000011,16.20000076,46.625,1.799999952,15.39999962,4.730000019,642.5700073,203.3899994,129.4499969,59.43000031,41.59999847,17.86000061,24.20999908,16.60000038,52.02000046,24.71999931,24.88999939,32.02999878,44.33000183,12.05000019,35.77999878,9.550000191,12.05000019,43.11000061,32.15000153,18.12000084,19.5,9.399999619,18,12.05000019,33.09999847,21.25,32.22999954,55.52999878,125.8300018,222.1000061,41.93000031,70.65000153,4.659999847,9.43999958,25.63999939,3.799999952,38.13999939,4.190000057,20.45000076
2017/2/7,131.5299988,3.150000095,16.15999985,60.15999985,26.79999924,10.52999973,16.29999924,46.625,1.950000048,15.5,4.699999809,639.960022,197.9499969,129.3000031,59.40999985,41.45000076,17.75,24.37999916,16.5,52.27999878,24.73999977,24.75,32.43000031,45.25,12.19999981,35.77999878,9.75,11.94999981,42.84000015,32,18.26000023,19.70000076,9.399999619,16.95000076,12,33.04999924,21.10000038,32.08000183,55.25,126.2900009,227.8500061,41.33000183,70.40000153,4.679999828,9.510000229,25.65999985,3.799999952,38.65999985,4.099999905,20.10000038
2017/2/8,132.0399933,3.200000048,16.55999947,60.77999878,27.03000069,10.69999981,16.10000038,46.17499924,1.980000019,15.35000038,4.659999847,634.1500244,196.7899933,126.1999969,59.90999985,41,17.62999916,24.01000023,16.64999962,51.34999847,24.75,24.65500069,33.25,45.25999832,12.44999981,33.90000153,9.550000191,12.10000038,42.04999924,32.95000076,18.37000084,19.88400078,9.300000191,16.85000038,12.30000019,33.54999924,21.20000076,32.13999939,55.04000092,126.5,229.4600067,40.70000076,69.80000305,4.670000076,10.03999996,25.56999969,3.599999905,38.34000015,3.99000001,19.95000076
2017/2/9,132.4199982,3.200000048,16.85000038,61.18999863,27.29000092,12.56000042,19.75,46.875,2.049999952,16.20000076,4.769999981,632.9099731,198.8000031,127.5,61.36000061,41.5,17.87000084,23.92000008,16.89999962,52.52000046,24.70000076,25,33.11999893,46.29000092,12.19999981,35.47000122,10.05000019,12.5,42.52000046,32.95000076,18.69000053,19.75,9.479999542,16.64999962,12.25,34.40000153,21.10000038,32.38000107,55.99000168,126.9599991,229.7899933,41.20999908,70.75,4.630000114,10.28999996,25.40999985,3.599999905,37.68000031,4.119999886,20.64999962
2017/2/10,132.1199951,3.25,16.81999969,61.25,27.48999977,11.98999977,19.89999962,47.20000076,2.049999952,15.75,4.920000076,638.9099731,200.0500031,126.4499969,62.54999924,41.5,18.85000038,23.84000015,17.20000076,52.15999985,24.76000023,25.07299995,33.63000107,46.20000076,12,35.65000153,10,12.60000038,42.52999878,33.45000076,18.97999954,20.10000038,10.10000038,16.54999924,12.75,34.84999847,21.29999924,32.34999847,56.61000061,127.3799973,230.7100067,41.59000015,71.09999847,4.769999981,10.22000027,25.65999985,3.700000048,37.81999969,4.190000057,20.95000076
2017/2/13,133.2899933,3.349999905,16.63999939,61.13999939,27.85000038,11.77000046,20.14999962,47.59999847,2,15.80000019,4.909999847,635.8499756,203.3300018,126.3499985,62.15999985,41.5,19.72999954,24.01000023,17,53.24000168,24.78000069,25.15999985,33.79000092,46.36999893,12.05000019,35.63999939,10.05000019,12.39999962,42.61000061,33.25,19.03000069,20,10.85000038,16.45000076,12.85000038,34.70000076,21.20000076,32.61000061,56.79999924,128.1000061,233.0800018,42.09000015,71.65000153,4.75,10.57999992,25.71999931,3.700000048,36.95999908,4.179999828,20.25
2017/2/14,135.0200043,3.549999952,17.06999969,62.09000015,27.87999916,12,20.10000038,47.875,2.049999952,15.64999962,4.909999847,636.2999878,201.9499969,125.0999985,62.27000046,41.5,19.57999992,23.87000084,16.85000038,53.00999832,24.80999947,25.29000092,33.63000107,46.63000107,12.05000019,35,10.25,12.5,43,29.35000038,18.89999962,19.89999962,11.19999981,17.5,13.05000019,35,21.10000038,32.75,56.5,128.5299988,233.5700073,42.61999893,70.59999847,4.820000172,10.61999989,25.78000069,3.700000048,35.70000076,4.239999771,20.45000076
